vote,@name-id,@sort-field,@unaccented-name,@party,@state,@role,#text,rollcall-num
Jeffries,A000370,Adams,Adams,D,NC,legislator,Adams,4
McCarthy,A000055,Aderholt,Aderholt,R,AL,legislator,Aderholt,4
Jeffries,A000371,Aguilar,Aguilar,D,CA,legislator,Aguilar,4
McCarthy,A000379,Alford,Alford,R,MO,legislator,Alford,4
McCarthy,A000372,Allen,Allen,R,GA,legislator,Allen,4
Jeffries,A000376,Allred,Allred,D,TX,legislator,Allred,4
McCarthy,A000369,Amodei,Amodei,R,NV,legislator,Amodei,4
McCarthy,A000377,Armstrong,Armstrong,R,ND,legislator,Armstrong,4
McCarthy,A000375,Arrington,Arrington,R,TX,legislator,Arrington,4
Jeffries,A000148,Auchincloss,Auchincloss,D,MA,legislator,Auchincloss,4
McCarthy,B001291,Babin,Babin,R,TX,legislator,Babin,4
McCarthy,B001298,Bacon,Bacon,R,NE,legislator,Bacon,4
McCarthy,B001307,Baird,Baird,R,IN,legislator,Baird,4
McCarthy,B001306,Balderson,Balderson,R,OH,legislator,Balderson,4
Jeffries,B001318,Balint,Balint,D,VT,legislator,Balint,4
McCarthy,B001299,Banks,Banks,R,IN,legislator,Banks,4
McCarthy,B001282,Barr,Barr,R,KY,legislator,Barr,4
Jeffries,B001300,Barragan,Barragan,D,CA,legislator,Barragán,4
McCarthy,B001314,Bean (FL),Bean (FL),R,FL,legislator,Bean (FL),4
Jeffries,B001281,Beatty,Beatty,D,OH,legislator,Beatty,4
McCarthy,B000668,Bentz,Bentz,R,OR,legislator,Bentz,4
Jeffries,B001287,Bera,Bera,D,CA,legislator,Bera,4
McCarthy,B001301,Bergman,Bergman,R,MI,legislator,Bergman,4
Jeffries,B001292,Beyer,Beyer,D,VA,legislator,Beyer,4
McCarthy,B000740,Bice,Bice,R,OK,legislator,Bice,4
Jordan,B001302,Biggs,Biggs,R,AZ,legislator,Biggs,4
McCarthy,B001257,Bilirakis,Bilirakis,R,FL,legislator,Bilirakis,4
Jeffries,B000490,Bishop (GA),Bishop (GA),D,GA,legislator,Bishop (GA),4
Jordan,B001311,Bishop (NC),Bishop (NC),R,NC,legislator,Bishop (NC),4
Jeffries,B000574,Blumenauer,Blumenauer,D,OR,legislator,Blumenauer,4
Jeffries,B001303,Blunt Rochester,Blunt Rochester,D,DE,legislator,Blunt Rochester,4
Jordan,B000825,Boebert,Boebert,R,CO,legislator,Boebert,4
Jeffries,B001278,Bonamici,Bonamici,D,OR,legislator,Bonamici,4
McCarthy,B001295,Bost,Bost,R,IL,legislator,Bost,4
Jeffries,B001223,Bowman,Bowman,D,NY,legislator,Bowman,4
Jeffries,B001296,Boyle (PA),Boyle (PA),D,PA,legislator,Boyle (PA),4
Jordan,B001317,Brecheen,Brecheen,R,OK,legislator,Brecheen,4
Jeffries,B001313,Brown,Brown,D,OH,legislator,Brown,4
Jeffries,B001285,Brownley,Brownley,D,CA,legislator,Brownley,4
McCarthy,B001260,Buchanan,Buchanan,R,FL,legislator,Buchanan,4
McCarthy,B001297,Buck,Buck,R,CO,legislator,Buck,4
McCarthy,B001275,Bucshon,Bucshon,R,IN,legislator,Bucshon,4
Jeffries,B001315,Budzinski,Budzinski,D,IL,legislator,Budzinski,4
McCarthy,B001309,Burchett,Burchett,R,TN,legislator,Burchett,4
McCarthy,B001248,Burgess,Burgess,R,TX,legislator,Burgess,4
McCarthy,B001316,Burlison,Burlison,R,MO,legislator,Burlison,4
Jeffries,B001224,Bush,Bush,D,MO,legislator,Bush,4
McCarthy,C000059,Calvert,Calvert,R,CA,legislator,Calvert,4
McCarthy,C001039,Cammack,Cammack,R,FL,legislator,Cammack,4
Jeffries,C001134,Caraveo,Caraveo,D,CO,legislator,Caraveo,4
Jeffries,C001112,Carbajal,Carbajal,D,CA,legislator,Carbajal,4
Jeffries,C001097,Cardenas,Cardenas,D,CA,legislator,Cárdenas,4
McCarthy,C001126,Carey,Carey,R,OH,legislator,Carey,4
McCarthy,C001054,Carl,Carl,R,AL,legislator,Carl,4
Jeffries,C001072,Carson,Carson,D,IN,legislator,Carson,4
McCarthy,C001103,Carter (GA),Carter (GA),R,GA,legislator,Carter (GA),4
Jeffries,C001125,Carter (LA),Carter (LA),D,LA,legislator,Carter (LA),4
McCarthy,C001051,Carter (TX),Carter (TX),R,TX,legislator,Carter (TX),4
Jeffries,C001090,Cartwright,Cartwright,D,PA,legislator,Cartwright,4
Jeffries,C001131,Casar,Casar,D,TX,legislator,Casar,4
Jeffries,C001055,Case,Case,D,HI,legislator,Case,4
Jeffries,C001117,Casten,Casten,D,IL,legislator,Casten,4
Jeffries,C001066,Castor (FL),Castor (FL),D,FL,legislator,Castor (FL),4
Jeffries,C001091,Castro (TX),Castro (TX),D,TX,legislator,Castro (TX),4
McCarthy,C001135,Chavez-DeRemer,Chavez-DeRemer,R,OR,legislator,Chavez-DeRemer,4
Jeffries,C001127,Cherfilus-McCormick,Cherfilus-McCormick,D,FL,legislator,Cherfilus-McCormick,4
Jeffries,C001080,Chu,Chu,D,CA,legislator,Chu,4
Jeffries,C001084,Cicilline,Cicilline,D,RI,legislator,Cicilline,4
McCarthy,C001133,Ciscomani,Ciscomani,R,AZ,legislator,Ciscomani,4
Jeffries,C001101,Clark (MA),Clark (MA),D,MA,legislator,Clark (MA),4
Jeffries,C001067,Clarke (NY),Clarke (NY),D,NY,legislator,Clarke (NY),4
Jeffries,C001061,Cleaver,Cleaver,D,MO,legislator,Cleaver,4
McCarthy,C001118,Cline,Cline,R,VA,legislator,Cline,4
Jordan,C001115,Cloud,Cloud,R,TX,legislator,Cloud,4
Jeffries,C000537,Clyburn,Clyburn,D,SC,legislator,Clyburn,4
Jordan,C001116,Clyde,Clyde,R,GA,legislator,Clyde,4
Jeffries,C001068,Cohen,Cohen,D,TN,legislator,Cohen,4
McCarthy,C001053,Cole,Cole,R,OK,legislator,Cole,4
McCarthy,C001129,Collins,Collins,R,GA,legislator,Collins,4
McCarthy,C001108,Comer,Comer,R,KY,legislator,Comer,4
Jeffries,C001078,Connolly,Connolly,D,VA,legislator,Connolly,4
Jeffries,C001110,Correa,Correa,D,CA,legislator,Correa,4
Jeffries,C001059,Costa,Costa,D,CA,legislator,Costa,4
Jeffries,C001069,Courtney,Courtney,D,CT,legislator,Courtney,4
Jeffries,C001119,Craig,Craig,D,MN,legislator,Craig,4
Jordan,C001132,Crane,Crane,R,AZ,legislator,Crane,4
McCarthy,C001087,Crawford,Crawford,R,AR,legislator,Crawford,4
McCarthy,C001120,Crenshaw,Crenshaw,R,TX,legislator,Crenshaw,4
Jeffries,C001130,Crockett,Crockett,D,TX,legislator,Crockett,4
Jeffries,C001121,Crow,Crow,D,CO,legislator,Crow,4
Jeffries,C001063,Cuellar,Cuellar,D,TX,legislator,Cuellar,4
McCarthy,C001114,Curtis,Curtis,R,UT,legislator,Curtis,4
McCarthy,D000632,D'Esposito,D'Esposito,R,NY,legislator,D'Esposito,4
Jeffries,D000629,Davids (KS),Davids (KS),D,KS,legislator,Davids (KS),4
McCarthy,D000626,Davidson,Davidson,R,OH,legislator,Davidson,4
Jeffries,D000096,Davis (IL),Davis (IL),D,IL,legislator,Davis (IL),4
Jeffries,D000230,Davis (NC),Davis (NC),D,NC,legislator,Davis (NC),4
McCarthy,D000594,De La Cruz,De La Cruz,R,TX,legislator,De La Cruz,4
Jeffries,D000631,Dean (PA),Dean (PA),D,PA,legislator,Dean (PA),4
Jeffries,D000197,DeGette,DeGette,D,CO,legislator,DeGette,4
Jeffries,D000216,DeLauro,DeLauro,D,CT,legislator,DeLauro,4
Jeffries,D000617,DelBene,DelBene,D,WA,legislator,DelBene,4
Jeffries,D000530,Deluzio,Deluzio,D,PA,legislator,Deluzio,4
Jeffries,D000623,DeSaulnier,DeSaulnier,D,CA,legislator,DeSaulnier,4
McCarthy,D000616,DesJarlais,DesJarlais,R,TN,legislator,DesJarlais,4
McCarthy,D000600,Diaz-Balart,Diaz-Balart,R,FL,legislator,Diaz-Balart,4
Jeffries,D000624,Dingell,Dingell,D,MI,legislator,Dingell,4
Jeffries,D000399,Doggett,Doggett,D,TX,legislator,Doggett,4
Jordan,D000032,Donalds,Donalds,R,FL,legislator,Donalds,4
McCarthy,D000633,Duarte,Duarte,R,CA,legislator,Duarte,4
McCarthy,D000615,Duncan,Duncan,R,SC,legislator,Duncan,4
McCarthy,D000628,Dunn (FL),Dunn (FL),R,FL,legislator,Dunn (FL),4
McCarthy,E000246,Edwards,Edwards,R,NC,legislator,Edwards,4
McCarthy,E000071,Ellzey,Ellzey,R,TX,legislator,Ellzey,4
McCarthy,E000294,Emmer,Emmer,R,MN,legislator,Emmer,4
Jeffries,E000299,Escobar,Escobar,D,TX,legislator,Escobar,4
Jeffries,E000215,Eshoo,Eshoo,D,CA,legislator,Eshoo,4
Jeffries,E000297,Espaillat,Espaillat,D,NY,legislator,Espaillat,4
McCarthy,E000298,Estes,Estes,R,KS,legislator,Estes,4
Jeffries,E000296,Evans,Evans,D,PA,legislator,Evans,4
McCarthy,E000235,Ezell,Ezell,R,MS,legislator,Ezell,4
McCarthy,F000246,Fallon,Fallon,R,TX,legislator,Fallon,4
McCarthy,F000446,Feenstra,Feenstra,R,IA,legislator,Feenstra,4
McCarthy,F000465,Ferguson,Ferguson,R,GA,legislator,Ferguson,4
McCarthy,F000475,Finstad,Finstad,R,MN,legislator,Finstad,4
